User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAQQTRRC77MSLQEAZQ,2021-12-31T05:03:44Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,98.240.213.48,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:035671578622:trail/udacity-trail""}]",ec0a7020-2dd6-444c-974f-5b5c1d81c4a3,86660ea6-35ac-47da-9e1a-a7da6f543a89,false,AwsApiCall,035671578622,Management
CloudTrail,ASIAQQTRRC77MSLQEAZQ,2021-12-31T05:03:44Z,cloudtrail.amazonaws.com,UpdateTrail,us-east-1,98.240.213.48,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:035671578622:trail/udacity-trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""udacity-trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-035671578622-940be423""}]",695a588e-82cf-4864-acb8-81731abfdfda,bc21ce5d-a701-4326-81ce-0e8f48a44144,false,AwsApiCall,035671578622,Management
CloudTrail,ASIAQQTRRC77MSLQEAZQ,2021-12-31T05:03:44Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,98.240.213.48,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:035671578622:trail/udacity-trail""}]",e7d4c1e2-c019-4b8e-850e-ecf21f4b1006,c8c2ad75-21f5-44ad-94a9-0ccb88a884fc,false,AwsApiCall,035671578622,Management
CloudTrail,ASIAQQTRRC77MSLQEAZQ,2021-12-31T05:02:43Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,98.240.213.48,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.156-94.273.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.312-b07 java/1.8.0_312 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-035671578622-940be423""}]",YHCWW8E8B3G80AFP,0aac11f4-69cf-4dc6-b3b0-d1febd3d5acd,false,AwsApiCall,035671578622,Management
CloudTrail,ASIAQQTRRC77MSLQEAZQ,2021-12-31T05:02:43Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,98.240.213.48,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""udacity-trail""}]",aeef654a-6a27-42cc-a53c-b230e587a8a9,7918bae4-6a89-4613-a514-4e99b6b8eb87,false,AwsApiCall,035671578622,Management
CloudTrail,ASIAQQTRRC77MSLQEAZQ,2021-12-31T05:02:43Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,98.240.213.48,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.156-94.273.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.312-b07 java/1.8.0_312 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-035671578622-940be423""}]",YHCNRFV90RYSTN28,af55f90f-e9c0-4202-bf53-23fb451fd4e7,false,AwsApiCall,035671578622,Management
CloudTrail,ASIAQQTRRC77MSLQEAZQ,2021-12-31T05:02:43Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,98.240.213.48,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:035671578622:trail/udacity-trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""udacity-trail""}]",ae79f1dd-e142-4f94-b909-5b6b17aac1c1,b7e33759-f551-4632-a1c9-a0ec7ce18806,false,AwsApiCall,035671578622,Management
CloudTrail,ASIAQQTRRC77MSLQEAZQ,2021-12-31T05:02:43Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,98.240.213.48,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:035671578622:trail/udacity-trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""udacity-trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-035671578622-940be423""}]",26c259e1-a70c-4591-b278-d62a3914171b,bf7f5300-ff80-421d-9f6d-0cd8968aa731,false,AwsApiCall,035671578622,Management
CloudTrail,ASIAQQTRRC77MSLQEAZQ,2021-12-31T05:02:43Z,s3.amazonaws.com,CreateBucket,us-east-1,98.240.213.48,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.156-94.273.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.312-b07 java/1.8.0_312 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-035671578622-940be423""}]",YHCGX3HTADHRZW66,e26f5836-2619-408b-b677-bc9ab5138a9e,false,AwsApiCall,035671578622,Management
CloudTrail,ASIAQQTRRC77PFDKSHGI,2021-12-31T05:02:04Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],f7ac2702-38d6-4223-ac08-36d9d80c3c0a,8c85ba3d-1086-418b-becc-41af22bd76ad,false,AwsApiCall,035671578622,Management
